Year,player_name,last_name,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2015,"Gibson-McDonald, Blake",Gibson-McDonald, Blake,SNA,SNA,T,17,0,0,0,4,0,0,0,0
2015,"Gillis, Jordan AP",Gillis, Jordan AP,BUR,BUR,AP,1,0,0,0,0,0,0,0,0
2015,"Goddard, Jordan",Goddard, Jordan,BUR,BUR,T,1,0,0,0,2,0,0,0,0
2015,"Grimes AP, Reilly",Grimes AP, Reilly,MIM,MIM,,1,0,0,0,0,0,0,0,0
2015,"Grimes, Colin",Grimes, Colin,MIM,MIM,,1,0,0,0,0,0,0,0,0
2015,"Harris, Latrell",Harris, Latrell,SCA,SCA,,1,0,0,0,0,0,0,0,0
2015,"Heidecker, Ben AP",Heidecker, Ben AP,BUR,BUR,AP,1,0,0,0,2,0,0,0,0
2015,"Hill, Brayden",Hill, Brayden,SNA,SNA,AP,1,0,0,0,0,0,0,0,0
2015,"Hill, Dalton",Hill, Dalton,PET,PET,D,2,0,0,0,0,0,0,0,0
2015,"Horn, Ky",Horn, Ky,PET,PET,O,1,0,0,0,17,0,0,0,0
2015,"Johnson AP, Andrew",Johnson AP, Andrew,WHI,WHI,,1,0,0,0,2,0,0,0,0
2015,"Killingbeck, Jayd",Killingbeck, Jayd,PET,PET,T,15,0,0,0,2,0,0,0,0
2015,"Kluck, AJ",Kluck, AJ,SNA,SNA,,3,0,0,0,0,0,0,0,0
2015,"Laloni, Michael",Laloni, Michael,TOR,TOR,,1,0,0,0,0,0,0,0,0
2015,"Leclere, Jonny",Leclere, Jonny,WHI,WHI,AP,3,0,0,0,2,0,0,0,0
2015,"Lee, Steven",Lee, Steven,BUR,BUR,DT,2,0,0,0,4,0,0,0,0
2015,"Lewis, Kyle",Lewis, Kyle,SNA,SNA,AP,2,0,0,0,0,0,0,0,0
2015,"Matthews, Riley",Matthews, Riley,MIM,MIM,F,1,0,0,0,0,0,0,0,0
2015,"Mayea, Devyn",Mayea, Devyn,BUR,BUR,AP,2,0,0,0,0,0,0,0,0
2015,"McCrae, Justin",McCrae, Justin,BUR,BUR,AP,1,0,0,0,0,0,0,0,0
2015,"McDonell, Mitch",McDonell, Mitch,TOR,TOR,D,4,0,0,0,2,0,0,0,0
2015,"McKenzie, Nate",McKenzie, Nate,KWE,KWE,,2,0,0,0,0,0,0,0,0
2015,"Minor, Bench",Minor, Bench,BRA,BRA,,3,0,0,0,0,0,0,0,0
2015,"Montag, Mike",Montag, Mike,KWE,KWE,D,4,0,0,0,19,0,0,0,0
2015,"Nay, John",Nay, John,KWE,KWE,,19,0,0,0,8,0,0,0,0
2015,"Nishimura, Jackson",Nishimura, Jackson,TOR,TOR,T,5,0,0,0,0,0,0,0,0
2015,"Nyhuus, Jake",Nyhuus, Jake,BUR,BUR,AP,1,0,0,0,2,0,0,0,0
2015,"Patey, Draydon",Patey, Draydon,ORA,ORA,,1,0,0,0,0,0,0,0,0
2015,"Perroni, Adam",Perroni, Adam,WHI,WHI,AP,1,0,0,0,4,0,0,0,0
2015,"Petter, Brandon",Petter, Brandon,BUR,BUR,AP,1,0,0,0,0,0,0,0,0
2015,"Robertson, Andrew",Robertson, Andrew,TOR,TOR,,1,0,0,0,0,0,0,0,0
2015,"Roe, Jeremy",Roe, Jeremy,BRA,BRA,D,4,0,0,0,5,0,0,0,0
2015,"Roundpoint, Dalton",Roundpoint, Dalton,SNA,SNA,D,2,0,0,0,0,0,0,0,0
2015,"Rowe, Sam",Rowe, Sam,MIM,MIM,D,17,0,0,0,12,0,0,0,0
2015,"Shanahan, Seamus",Shanahan, Seamus,MIM,MIM,AP,10,0,0,0,10,0,0,0,0
2015,"Smitheram, Anthony",Smitheram, Anthony,MIM,MIM,,1,0,0,0,0,0,0,0,0
2015,"Smyth, Trevor",Smyth, Trevor,ORA,ORA,,5,0,0,0,0,0,0,0,0
2015,"Stanley, Robert",Stanley, Robert,SCA,SCA,D,2,0,0,0,0,0,0,0,0
2015,"Sutton, Steve",Sutton, Steve,ORA,ORA,T,3,0,0,0,2,0,0,0,0
2015,"Tarbell, Kason",Tarbell, Kason,SNA,SNA,D,6,0,0,0,11,0,0,0,0
2015,"Tolmie AP, Bryce",Tolmie AP, Bryce,WHI,WHI,,1,0,0,0,0,0,0,0,0
2015,"Weichers (AP), Matt",Weichers (AP), Matt,KWE,KWE,,2,0,0,0,2,0,0,0,0
2015,"Wiechers, Matt",Wiechers, Matt,KWE,KWE,D,1,0,0,0,0,0,0,0,0
2015,"Wright, Liam",Wright, Liam,SNA,SNA,UA,1,0,0,0,0,0,0,0,0
2014,"O`Connor, Reilly",O`Connor, Reilly,WHI,WHI,F,20,26,91,117,24,3,28,0,2
2014,"Shanks, Austin",Shanks, Austin,WHI,WHI,F,20,57,47,104,17,14,16,2,0
2014,"Herreweyers, Zach",Herreweyers, Zach,BRA,BRA,O,20,51,47,98,42,6,10,5,1
2014,"Keenan, Ryan",Keenan, Ryan,WHI,WHI,F,19,47,51,98,9,13,10,1,1
2014,"Evans, Turner",Evans, Turner,PET,PET,O,20,28,66,94,17,2,14,2,3
2014,"Cloutier, Chris",Cloutier, Chris,KWE,KWE,F,18,48,41,89,21,4,5,5,3
2014,"Teat, Jeff",Teat, Jeff,BRA,BRA,O,19,35,54,89,0,5,10,1,1
2014,"Craig, Daniel",Craig, Daniel,BLS,BLS,F,17,28,58,86,12,5,13,2,3
2014,"Brown, Connor",Brown, Connor,ORA,ORA,F,20,34,49,83,105,7,6,1,1
2014,"Lomas, Danny",Lomas, Danny,BUR,BUR,O,20,46,37,83,12,12,8,0,0
2014,"Murphy, Austin",Murphy, Austin,BLS,BLS,F,20,30,53,83,34,2,14,2,2
2014,"Staats, Austin",Staats, Austin,SNA,SNA,O,19,41,37,78,39,1,10,2,0
2014,"Jackson, Kyle",Jackson, Kyle,KWE,KWE,F,20,28,49,77,18,8,10,0,5
2014,"Johnson, Josh",Johnson, Josh,SNA,SNA,F,20,32,44,76,29,7,3,0,1
2014,"Gibson, Tyson",Gibson, Tyson,BRA,BRA,0,18,27,48,75,2,3,8,2,1
2014,"Sanders, TJ",Sanders, TJ,BLS,BLS,F,20,41,32,73,0,7,6,1,2
2014,"Powless, Quinn",Powless, Quinn,SNA,SNA,F,20,26,46,72,4,2,7,0,1
2014,"Currier, Josh",Currier, Josh,PET,PET,O,19,36,33,69,9,8,7,1,1
2014,"Drake, Bennett",Drake, Bennett,WHI,WHI,T,19,31,36,67,8,7,7,0,1
2014,"Fannell, Eric",Fannell, Eric,SCA,SCA,F,16,37,28,65,18,4,2,1,0
2014,"Caputo, Philip",Caputo, Philip,BRA,BRA,O,18,24,40,64,2,4,8,1,1
2014,"Cattoni, Holden",Cattoni, Holden,PET,PET,O,14,37,27,64,10,5,5,2,2
2014,"Durston, Jordan",Durston, Jordan,SNA,SNA,F,19,26,38,64,14,3,6,0,0
2014,"Potter, Kyle",Potter, Kyle,SCA,SCA,A,19,20,44,64,12,4,5,0,0
2014,"Ducharme, Lucas",Ducharme, Lucas,ORA,ORA,O,19,27,33,60,8,1,7,3,2
2014,"Petterson, Clarke",Petterson, Clarke,BRA,BRA,O,18,9,50,59,0,0,0,0,1
2014,"Albrecht, Tyler",Albrecht, Tyler,BUR,BUR,T,18,25,33,58,2,3,10,3,4
2014,"Callaghan, Ryan",Callaghan, Ryan,MIS,MIS,F,19,34,24,58,21,11,4,1,0
2014,"MacDonald, Shane",MacDonald, Shane,BRA,BRA,T,17,27,28,55,33,8,7,0,1
2014,"Cole, Bryan",Cole, Bryan,BUR,BUR,T,17,22,31,53,20,1,6,5,1
2014,"Lee, Ryan",Lee, Ryan,TOR,TOR,O,16,20,33,53,31,4,2,0,2
2014,"Prince, Davis",Prince, Davis,KWE,KWE,F,20,24,29,53,17,2,6,0,0
2014,"Whitlow, Kyle",Whitlow, Kyle,BLS,BLS,F,13,22,28,50,30,5,2,0,1
2014,"Maracle, Haodais (Joseph)",Maracle, Haodais (Joseph),SNA,SNA,O,18,14,35,49,12,2,2,0,0
2014,"Milligan, Cam",Milligan, Cam,PET,PET,O,19,15,33,48,17,4,6,0,1
2014,"Bomberry, Brendan",Bomberry, Brendan,SNA,SNA,F,14,15,32,47,22,2,6,0,0
2014,"Levick, Chad",Levick, Chad,TOR,TOR,O,19,23,24,47,41,2,7,0,0
2014,"Mackay, Ian",Mackay, Ian,ORA,ORA,T,20,23,23,46,22,4,6,2,0
2014,"Pyke, Spencer",Pyke, Spencer,BLS,BLS,F,20,16,29,45,12,3,3,1,1
2014,"Apers, Nolan",Apers, Nolan,BUR,BUR,O,19,13,31,44,14,3,9,0,1
2014,"Keenan, Luke",Keenan, Luke,WHI,WHI,O,18,9,35,44,11,3,13,0,0
2014,"Dance, Jordan",Dance, Jordan,ORA,ORA,T,17,18,25,43,37,3,5,1,0
2014,"Michel, Dan",Michel, Dan,PET,PET,O,20,18,25,43,8,6,5,1,0
2014,"Gatt, Dylan",Gatt, Dylan,SCA,SCA,,19,21,21,42,4,1,2,0,1
2014,"Fox, Jake",Fox, Jake,PET,PET,F,18,17,23,40,13,0,2,2,4
2014,"Ward, Cody",Ward, Cody,SCA,SCA,,20,12,28,40,0,0,2,0,0
2014,"Kearnan, Connor",Kearnan, Connor,WHI,WHI,O,17,12,27,39,37,0,1,0,1
2014,"Smith, Drake",Smith, Drake,KWE,KWE,F,20,21,18,39,16,4,4,2,0
2014,"St. John, John",St. John, John,TOR,TOR,O,14,21,18,39,21,1,4,3,0
