Year,player_name,last_name,last_name_year,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists,
2019,"Halls, Tyler",Halls,"Halls, 2019", Tyler,ORA,ORA,,20,6,6,12,2,0,0,1,0,
2019,"Leclair, Liam",Leclair,"Leclair, 2019", Liam,SNA,SNA,,20,4,8,12,14,1,0,0,0,
2019,"McGreggor, Brayden",McGreggor,"McGreggor, 2019", Brayden,PET,PET,,16,4,8,12,7,0,0,0,0,
2019,"Pratt, Dustyn",Pratt,"Pratt, 2019", Dustyn,ORA,ORA,,20,5,7,12,24,0,0,2,0,
2019,"X Borgatti, Andrew",Borgatti,"Borgatti, 2019", Andrew,KWE,KWE,,20,6,6,12,30,0,0,2,0,
2019,"Brown, Travis",Brown,"Brown, 2019", Travis,ORA,ORA,,19,1,10,11,17,0,0,0,0,
2019,"Cresswell, Braydon",Cresswell,"Cresswell, 2019", Braydon,MIM,MIM,,9,7,4,11,35,2,0,0,0,
2019,"Davis, Tyler",Davis,"Davis, 2019", Tyler,SNA,SNA,,7,2,9,11,6,0,1,0,0,
2019,"Dilks, Jamie",Dilks,"Dilks, 2019", Jamie,SNA,SNA,,20,3,8,11,2,0,0,1,0,
2019,"Fannell, Bradley",Fannell,"Fannell, 2019", Bradley,SCA,SCA,,20,6,5,11,18,0,0,1,0,
2019,"Fiegehen, Mike",Fiegehen,"Fiegehen, 2019", Mike,ORA,ORA,,6,4,7,11,0,0,0,0,0,
2019,"Halliwell, Shane",Halliwell,"Halliwell, 2019", Shane,KWE,KWE,,16,6,5,11,16,0,1,0,0,
2019,"McKenna, Jordan",McKenna,"McKenna, 2019", Jordan,ORA,ORA,,15,2,9,11,0,0,0,0,0,
2019,"Moyer, Carson",Moyer,"Moyer, 2019", Carson,BLS,BLS,,9,4,7,11,4,0,1,0,0,
2019,"Trumble, Ben",Trumble,"Trumble, 2019", Ben,BLS,BLS,,17,2,9,11,17,0,0,0,0,
2019,"Whitty, Tom",Whitty,"Whitty, 2019", Tom,SCA,SCA,,20,1,10,11,16,0,0,0,0,
2019,"X Cole, Tanner",Cole,"Cole, 2019", Tanner,KWE,KWE,,10,3,8,11,0,1,0,0,1,
2019,"Yarranton, Max",Yarranton,"Yarranton, 2019", Max,BRA,BRA,,21,6,5,11,2,0,0,0,0,
2019,"Fairey, Josh",Fairey,"Fairey, 2019", Josh,TOR,TOR,,15,5,5,10,0,0,1,0,1,
2019,"Maltby AP, Andrew",Maltby AP,"Maltby AP, 2019", Andrew,BLS,BLS,,10,2,8,10,0,0,2,0,0,
2019,"Salinas, Gutch",Salinas,"Salinas, 2019", Gutch,BUR,BUR,,16,3,7,10,29,0,0,0,1,
2019,"Szabo, Joey",Szabo,"Szabo, 2019", Joey,MIM,MIM,,16,3,7,10,2,0,3,1,0,
2019,"Van Der Zalm, Saul",Van Der Zalm,"Van Der Zalm, 2019", Saul,SCA,SCA,,20,5,5,10,12,0,0,0,0,
2019,"X Mazzuca, Phil",Mazzuca,"Mazzuca, 2019", Phil,OAK,OAK,,20,5,5,10,19,1,0,1,0,
2019,"(AP) Tkachuk, Justin",(AP) Tkachuk,"(AP) Tkachuk, 2019", Justin,TOR,TOR,,14,4,5,9,15,0,0,0,0,
2019,"Aquanno, Connor",Aquanno,"Aquanno, 2019", Connor,SCA,SCA,,5,2,7,9,0,0,0,0,0,
2019,"Argent, Tye",Argent,"Argent, 2019", Tye,BUR,BUR,,7,5,4,9,0,0,0,0,0,
2019,"Booth, Percy",Booth,"Booth, 2019", Percy,SNA,SNA,,17,4,5,9,27,0,0,0,0,
2019,"Duncan, Matthew",Duncan,"Duncan, 2019", Matthew,TOR,TOR,,15,1,8,9,18,0,0,0,1,
2019,"Graham, Rory",Graham,"Graham, 2019", Rory,MIM,MIM,,18,3,6,9,29,0,1,0,0,
2019,"Marinier, Matt",Marinier,"Marinier, 2019", Matt,BUR,BUR,,19,4,5,9,39,0,1,0,0,
2019,"McGregor, Gavin",McGregor,"McGregor, 2019", Gavin,SCA,SCA,,11,2,7,9,0,0,0,0,0,
2019,"Smith, Hodowas",Smith,"Smith, 2019", Hodowas,SNA,SNA,,8,3,6,9,19,0,0,0,1,
2019,"X Balawejder, Daniel",Balawejder,"Balawejder, 2019", Daniel,SNA,SNA,,20,1,8,9,28,1,0,0,1,
2019,"(AP) Boyden, Jack",(AP) Boyden,"(AP) Boyden, 2019", Jack,TOR,TOR,,4,2,6,8,0,0,0,0,0,
2019,"Biles, Tyler",Biles,"Biles, 2019", Tyler,BRA,BRA,,19,1,7,8,53,0,0,0,0,
2019,"Blount-Smith, Owen",Blount-Smith,"Blount-Smith, 2019", Owen,BRA,BRA,,20,2,6,8,16,0,0,1,0,
2019,"Caskenette, Brody",Caskenette,"Caskenette, 2019", Brody,ORA,ORA,,8,3,5,8,0,1,1,0,0,
2019,"Driscoll, Kyle",Driscoll,"Driscoll, 2019", Kyle,KWE,KWE,,17,3,5,8,4,0,1,0,0,
2019,"Gagliardi, Jonathan",Gagliardi,"Gagliardi, 2019", Jonathan,OAK,OAK,,15,3,5,8,23,0,1,0,0,
2019,"Handsor, Kobe",Handsor,"Handsor, 2019", Kobe,WHI,WHI,,19,0,8,8,14,0,1,0,0,
2019,"Harris, Latrell",Harris,"Harris, 2019", Latrell,SCA,SCA,,14,2,6,8,10,0,0,0,0,
2019,"Harris, Mike",Harris,"Harris, 2019", Mike,BUR,BUR,,20,4,4,8,2,0,0,2,2,
2019,"Martin, Curtis",Martin,"Martin, 2019", Curtis,PET,PET,,10,2,6,8,6,0,0,0,0,
2019,"Mcdonald, Liam",Mcdonald,"Mcdonald, 2019", Liam,SCA,SCA,,3,3,5,8,0,0,0,0,0,
2019,"Reed, Scott",Reed,"Reed, 2019", Scott,WHI,WHI,,20,5,3,8,27,0,0,0,0,
2019,"Smith, Matt",Smith,"Smith, 2019", Matt,PET,PET,,19,4,4,8,37,0,1,1,0,
2019,"St Onge, Rylee",St Onge,"St Onge, 2019", Rylee,SCA,SCA,,19,5,3,8,2,0,0,0,0,
2019,"Abrams, Maccoy",Abrams,"Abrams, 2019", Maccoy,SNA,SNA,,3,4,3,7,6,0,0,0,0,
2019,"Connor, Joe",Connor,"Connor, 2019", Joe,BLS,BLS,,20,2,5,7,46,0,0,0,0,
2019,"Kamminga, Mason",Kamminga,"Kamminga, 2019", Mason,SCA,SCA,,18,3,4,7,34,0,0,0,0,
2019,"Kauffeldt, Devlin",Kauffeldt,"Kauffeldt, 2019", Devlin,BLS,BLS,,17,3,4,7,25,0,0,0,0,
2019,"Mandeville, Oriale",Mandeville,"Mandeville, 2019", Oriale,BLS,BLS,,18,3,4,7,6,0,1,0,0,
2019,"Race, Julian",Race,"Race, 2019", Julian,SCA,SCA,,2,0,7,7,0,0,0,0,0,
2019,"Tamlin, Matt",Tamlin,"Tamlin, 2019", Matt,PET,PET,,9,3,4,7,71,0,0,0,0,
2019,"X Dawick, Josh",Dawick,"Dawick, 2019", Josh,WHI,WHI,,4,2,5,7,0,0,0,0,0,
2019,"X Di Lella, Matt",Di Lella,"Di Lella, 2019", Matt,BUR,BUR,,20,4,3,7,16,0,0,1,0,
2019,"Bolsterli, Oliver",Bolsterli,"Bolsterli, 2019", Oliver,SNA,SNA,,17,1,5,6,10,0,0,0,0,
2019,"Commandant, Caleb",Commandant,"Commandant, 2019", Caleb,OAK,OAK,,17,1,5,6,16,0,1,0,0,
2019,"Firth (AP), Sam",Firth (AP),"Firth (AP), 2019", Sam,ORA,ORA,,3,2,4,6,0,1,0,0,0,
2019,"Hunt, Colin",Hunt,"Hunt, 2019", Colin,BUR,BUR,,19,0,6,6,6,0,0,0,0,
2019,"Leclair, Sam",Leclair,"Leclair, 2019", Sam,SCA,SCA,,1,1,5,6,0,1,5,0,0,
2019,"Millsap (AP), Noah",Millsap (AP),"Millsap (AP), 2019", Noah,ORA,ORA,,3,2,4,6,0,0,0,0,0,
2019,"Noble, Pierson",Noble,"Noble, 2019", Pierson,MIM,MIM,,20,1,5,6,18,0,0,0,1,
2019,"Pace, Alex",Pace,"Pace, 2019", Alex,SCA,SCA,,20,1,5,6,24,0,0,0,1,
2019,"Wallace, Peytin",Wallace,"Wallace, 2019", Peytin,WHI,WHI,,18,0,6,6,20,0,0,0,0,
2019,"X Kearney AP, Zack",Kearney,"Kearney, 2019", Zack,OAK,OAK,,4,3,3,6,0,0,0,0,0,
2019,"Young, Zach",Young,"Young, 2019", Zach,MIM,MIM,,6,1,5,6,2,0,0,0,0,
2019,"Allaer AP, Landon",Allaer AP,"Allaer AP, 2019", Landon,KWE,KWE,,6,0,5,5,6,0,0,0,0,
2019,"Begley AP, Carter",Begley AP,"Begley AP, 2019", Carter,MIM,MIM,,4,1,4,5,0,0,0,0,0,
2019,"Berg, Justin",Berg,"Berg, 2019", Justin,BLS,BLS,,14,0,5,5,0,0,0,0,0,
2019,"Bradshaw, Aaron",Bradshaw,"Bradshaw, 2019", Aaron,PET,PET,,5,1,4,5,2,0,1,0,0,
2019,"Budway, Jack (AP)",Budway,"Budway, 2019", Jack (AP),WHI,WHI,,2,2,3,5,0,0,0,0,0,
2019,"Dong, Kevin",Dong,"Dong, 2019", Kevin,OAK,OAK,,19,3,2,5,13,0,0,0,1,
2019,"Doolittle, Jake",Doolittle,"Doolittle, 2019", Jake,WHI,WHI,,20,0,5,5,8,0,0,0,1,
2019,"Greyeyes, Aaron",Greyeyes,"Greyeyes, 2019", Aaron,SNA,SNA,,9,2,3,5,4,0,0,0,0,
2019,"Lowes, Holden",Lowes,"Lowes, 2019", Holden,PET,PET,,19,1,4,5,10,0,0,0,0,
2019,"Martino, Jacob",Martino,"Martino, 2019", Jacob,OAK,OAK,,18,2,3,5,28,0,0,0,1,
2019,"McCrory, Liam",McCrory,"McCrory, 2019", Liam,BLS,BLS,,9,3,2,5,2,1,0,0,0,
2019,"Oakes, Tesi",Oakes,"Oakes, 2019", Tesi,ORA,ORA,,2,2,3,5,0,0,1,0,0,
