Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"Ogilvie, Mitch",Ogilvie, Mitch,PET,,18,8,10,18,12,0,0,0,1
2019,"Page, Carter",Page, Carter,PET,,10,10,8,18,2,1,4,2,0
2019,"Reid, Jackson",Reid, Jackson,SNA,,5,7,10,17,0,3,2,0,1
2019,"X Braniff, Nate",X Braniff, Nate,KWE,,15,4,13,17,8,0,3,0,0
2019,"Cordingley, Bryce",Cordingley, Bryce,OAK,,15,6,10,16,4,0,0,0,0
2019,"Corsi, Matteo",Corsi, Matteo,BRA,,9,5,11,16,0,0,2,2,1
2019,"Kilgour, Kyler",Kilgour, Kyler,SCA,,20,5,11,16,14,0,1,0,0
2019,"Acchione, Matthew",Acchione, Matthew,BLS,,8,3,12,15,4,0,5,0,0
2019,"Bowhunter, Wake:Riat",Bowhunter, Wake:Riat,SNA,,9,4,11,15,0,0,0,1,1
2019,"Hancock, Cam",Hancock, Cam,KWE,,17,5,10,15,12,0,0,0,0
2019,"Lockyer-Fagan, Braedan",Lockyer-Fagan, Braedan,BLS,,18,4,11,15,8,1,1,0,0
2019,"Power, Gordie",Power, Gordie,BLS,,18,9,6,15,44,0,3,0,0
2019,"Carnduff, William",Carnduff, William,WHI,,20,6,8,14,22,0,0,0,0
2019,"Friesen, Owen",Friesen, Owen,SCA,,19,2,12,14,12,0,3,0,0
2019,"Searle, Jeremy",Searle, Jeremy,ORA,,19,7,7,14,0,0,0,0,0
2019,"(AP) Hickey, Jacob",(AP) Hickey, Jacob,TOR,,7,1,12,13,2,0,0,0,0
2019,"Dawick AP, Luke",Dawick AP, Luke,OAK,,5,3,10,13,0,0,1,0,0
2019,"Donville, Jonathan",Donville, Jonathan,ORA,,5,5,8,13,0,0,3,0,0
2019,"Goddard, Curtis",Goddard, Curtis,OAK,,15,4,9,13,4,0,1,0,0
2019,"Grant, Owen",Grant, Owen,TOR,,15,9,4,13,30,0,0,0,0
2019,"Hastings, Carter",Hastings, Carter,PET,,14,1,12,13,2,0,1,0,0
