PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
JUSTIN PORGA,St. Catharines Athletics,2,4,4,8,0,,1,0,1,4
ZACH COULMAN,Oakville Buzz,18,4,4,8,36,,1,2,0,1
NATHAN POULIOT,Toronto Beaches,5,3,5,8,2,,0,0,0,0
KAELEN SMITH,Kitchener-Waterloo,5,3,5,8,0,,0,2,0,0
CODY MERRITT,Brampton Excelsiors,10,3,5,8,0,,0,0,1,0
NATHAN FEHR,St. Catharines Athletics,18,3,5,8,16,,1,0,0,0
KAELEN SMITH,St. Catharines Athletics,6,2,6,8,7,,0,0,0,3
JULIAN RACE,St. Catharines Athletics,14,2,6,8,4,,0,1,1,0
DAMON DECAIRE,Six Nations Arrows,4,1,7,8,2,,0,1,0,1
LIAM FERRIS,Mimico Mountaineers,17,1,7,8,32,,0,2,0,3
JEREMI PHOENIX-LEFEBVRE,Toronto Beaches,19,1,7,8,20,,0,1,0,1
AUSTIN LAMOUREUX,Peterborough Lakers,2,3,4,7,0,,2,2,0,2
JACK FOLLOWS,Oakville Buzz,12,3,4,7,2,,0,0,0,1
JACK MCALPINE,Oakville Buzz,5,2,5,7,0,,0,0,0,0
MASON SANDEN,Six Nations Arrows,14,2,5,7,8,,0,0,2,0
HOLDEN LOWES,Peterborough Lakers,19,2,5,7,2,,0,1,0,0
KADEN KUBLINSKAS,Kitchener-Waterloo,17,1,6,7,6,,0,0,1,0
COOPER JACKSON,Burlington Chiefs,18,1,6,7,6,,0,2,1,1
COLIN MATTHEWS,Burlington Chiefs,14,4,2,6,2,,1,0,0,0
BEN MACDONNELL,Whitby Warriors,17,3,3,6,24,,0,1,0,0
ELIJAH EDWARDS,Orangeville Northmen,19,2,4,6,29,,0,1,1,0
CARSON ROBINS,St. Catharines Athletics,7,1,5,6,0,,0,0,0,0
CAMERON PACK,St. Catharines Athletics,9,1,5,6,16,,0,0,0,0
ANDREW VRADENBURG,Burlington Chiefs,20,1,5,6,17,,0,0,0,0
OWEN DALE,Kitchener-Waterloo,18,0,6,6,40,,0,1,0,1
DONNY SCOTT,Orangeville Northmen,14,4,1,5,19,,0,0,0,0
CHRIS DONG,Oakville Buzz,20,3,2,5,4,,0,0,0,1
ROBBIE MCGRAYNE,Peterborough Lakers,1,2,3,5,0,,1,1,0,1
TYSON ALLISON,Burlington Chiefs,4,2,3,5,2,,0,2,0,1
RILEY SIMPSON,Peterborough Lakers,7,2,3,5,2,,0,0,0,0
LUCAS OSBORNE,Peterborough Lakers,13,2,3,5,2,,0,0,0,0
XANDER DERKATZ,Oakville Buzz,4,1,4,5,4,,1,1,0,0
EDDY FERREDE,Kitchener-Waterloo,17,1,4,5,16,,0,0,0,0
KEAN PARE,Six Nations Arrows,18,1,4,5,23,,1,1,0,0
AARON TOGURI,Mimico Mountaineers,20,1,4,5,36,,0,0,0,0
REED ALLEN,Burlington Chiefs,3,0,5,5,0,,0,0,0,0
JADEN CIAPPARA,Orangeville Northmen,12,0,5,5,2,,0,0,0,0
PHOENIX PULLEN,Brampton Excelsiors,20,0,5,5,37,,0,2,0,1
NICHOLAS ROODE,Peterborough Lakers,1,3,1,4,0,,2,0,1,0
WILL MCLEOD,Burlington Chiefs,1,3,1,4,0,,1,0,1,0
CAMERON STERRITT,Brampton Excelsiors,2,3,1,4,0,,1,0,0,1
CHRIS DASILVA,Brampton Excelsiors,4,3,1,4,0,,0,0,0,0
JUSTIN TAVARES AP,Mimico Mountaineers,5,3,1,4,0,,0,0,1,0
LIAM MACKAY,Toronto Beaches,17,3,1,4,29,,1,0,0,0
TREYSEN STEWART,Whitby Warriors,3,2,2,4,4,,0,0,0,0
COLM BARNETT,Orangeville Northmen,6,2,2,4,2,,0,0,0,0
REECE DICICCO,Peterborough Lakers,8,2,2,4,6,,1,1,0,0
NICK THOMAS,Kitchener-Waterloo,9,2,2,4,16,,0,0,0,0
MICHAEL JACKMAN,Oakville Buzz,13,2,2,4,51,,1,2,0,0
LIAM STADNYK,Orangeville Northmen,16,2,2,4,0,,0,0,1,0
JACOB MCLEAN,Peterborough Lakers,1,1,3,4,0,,1,2,0,0
ALEX HICKS,Kitchener-Waterloo,4,1,3,4,0,,0,0,0,0
ISSAC PRANTERA,St. Catharines Athletics,11,1,3,4,8,,1,0,0,1
ASHTON LANKOWSKI,Kitchener-Waterloo,17,1,3,4,0,,1,1,0,2
TY CARTY,Brampton Excelsiors,20,1,3,4,9,,0,1,0,2
GORDIE POWER,Burlington Chiefs,2,0,4,4,2,,0,2,0,0
PEYTON DRONE,Peterborough Lakers,2,0,4,4,0,,0,1,0,1
AVERY STEINBACH-PARKER,Six Nations Arrows,7,0,4,4,0,,0,3,0,0
HADOWAS SMITH,Six Nations Arrows,14,0,4,4,17,,0,0,0,1
HAYDEN THOMSON,Oakville Buzz,15,0,4,4,8,,0,0,0,1
CURTIS WARD,Brampton Excelsiors,5,3,0,3,0,,1,0,0,0
ADAM ROSS,St. Catharines Athletics,1,2,1,3,0,,0,0,0,0
COLTON ARMITAGE,St. Catharines Athletics,1,2,1,3,2,,0,0,1,1
HUNTER LUBINIECKI,Peterborough Lakers,2,2,1,3,0,,0,1,0,0
KYLER FRANCIS,Kitchener-Waterloo,2,2,1,3,2,,0,0,0,0
MATT WRIGHT,Mimico Mountaineers,2,2,1,3,2,,0,0,1,0
GEORGE PITT,Burlington Chiefs,2,2,1,3,0,,0,0,1,0
KAZ NIZIELSKI,Kitchener-Waterloo,12,2,1,3,12,,0,0,2,0
MITCHELL ARMSTRONG,St. Catharines Athletics,12,2,1,3,23,,0,0,0,1
JOHN WHEELER,Whitby Warriors,12,2,1,3,7,,0,0,0,0
LOUIS ALFRED,Six Nations Arrows,16,2,1,3,63,,0,0,0,1
MAVRYK GATT,St. Catharines Athletics,1,1,2,3,2,,0,0,0,0
NOLAN BARKER,Kitchener-Waterloo,2,1,2,3,0,,0,0,0,0
JAMES DONNELLY,Peterborough Lakers,2,1,2,3,0,,0,1,1,1
