PLAYER,first_name,last_name,player_new 1 3,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
OWEN TAPPER,Owen,Tapper,,Whitby Warriors,T,18,8,7,15,22,1,0,0,0
DYLAN ROBINSON,Dylan,Robinson,,Toronto Beaches,Ð,18,6,9,15,29,0,0,1,0
CODY COULSON,Cody,Coulson,,Orangeville Northmen,F,11,8,6,14,4,2,3,0,0
JACK TRAVASSOS,Jack,Travassos,,Burlington Chiefs,T,19,8,6,14,25,0,0,1,0
CARTER ACCURSI,Carter,Accursi,,St. Catharines Athletics,F,14,6,8,14,0,0,0,1,0
DANTE BOWEN,Dante,Bowen,,Brampton Excelsiors,D,16,8,5,13,13,2,0,1,0
SCOTT REED,Scott,Reed,,Whitby Warriors,T,19,4,9,13,33,0,0,0,3
CARTER BEGLEY AP,Carter,Begley,Ap,Mimico Mountaineers,F,8,3,10,13,2,1,3,0,1
BRYCE CORDINGLEY,Bryce,Cordingley,,Mimico Mountaineers,T,17,3,10,13,61,1,1,1,2
BRODY CASKENETTE,Brody,Caskenette,,Mimico Mountaineers,T,17,2,11,13,6,1,0,0,2
HUGH KELLEHER,Hugh,Kelleher,,Oakville Buzz,T,9,10,2,12,6,1,0,2,0
BEN TRUMBLE,Ben,Trumble,,Peterborough Lakers,T,16,7,5,12,10,3,1,1,1
GREG PALMER,Greg,Palmer,,Toronto Beaches,Ð,7,6,6,12,7,0,0,0,1
MATTHEW ACCHIONE,Matthew,Acchione,,Toronto Beaches,F,11,5,7,12,4,0,3,1,0
LIAM MCGRATH,Liam,Mcgrath,,Orangeville Northmen,T,18,3,9,12,27,0,0,0,0
TAYLOR DOOLEY,Taylor,Dooley,,Toronto Beaches,D,19,3,9,12,23,1,2,1,0
PEYTIN WALLACE,Peytin,Wallace,,Whitby Warriors,D,19,0,12,12,38,0,0,0,2
OWEN VANLOON,Owen,Vanloon,,Six Nations Arrows,T,12,7,4,11,20,1,1,0,1
ZANE DALPE,Zane,Dalpe,,Kitchener-Waterloo,Ð,3,6,5,11,0,2,0,0,0
ALEXIS SIMARD,Alexis,Simard,,Burlington Chiefs,T,19,5,6,11,39,0,1,0,1
TY MYERS,Ty,Myers,,Six Nations Arrows,"D, F",7,3,8,11,2,1,2,0,0
LIAM KEANE,Liam,Keane,,Brampton Excelsiors,F,12,5,5,10,4,0,2,0,0
MATT HAMILL,Matt,Hamill,,Six Nations Arrows,"F, T",15,5,5,10,2,0,0,1,0
JAKE WRIGHT,Jake,Wright,,Oakville Buzz,F,10,4,6,10,14,0,4,1,0
HUDSON THOMPSON,Hudson,Thompson,,Mimico Mountaineers,F,19,3,7,10,24,1,2,0,0
MASON TARDIFF,Mason,Tardiff,,Peterborough Lakers,F,8,2,8,10,2,1,3,0,0
BRENDAN ANDERSON,Brendan,Anderson,,Six Nations Arrows,F,4,6,3,9,16,1,1,0,0
DAVID PETERKIN,David,Peterkin,,Toronto Beaches,F,14,6,3,9,8,1,0,0,0
JOSH FAIREY,Josh,Fairey,,Toronto Beaches,D,16,5,4,9,8,0,0,0,1
OWEN RAHN,Owen,Rahn,,Orangeville Northmen,T,17,4,5,9,35,0,1,1,0
NATE RUFF,Nate,Ruff,,Orangeville Northmen,T,19,4,5,9,8,1,0,0,0
LUCAS FERREIRA,Lucas,Ferreira,,Oakville Buzz,F,8,3,6,9,4,0,1,0,0
NICHOLAS VOLKOV,Nicholas,Volkov,,Burlington Chiefs,T,16,2,7,9,47,0,0,0,0
ADAM THISTLETHWAITE,Adam,Thistlethwaite,,Peterborough Lakers,T,16,2,7,9,24,1,2,0,2
MATTHEW VILAS,Matthew,Vilas,,Oakville Buzz,T,17,2,7,9,2,1,1,0,0
NATHAN POULIOT,Nathan,Pouliot,,Toronto Beaches,Ð,3,1,8,9,2,0,0,0,0
JACK PAROLIN,Jack,Parolin,,Toronto Beaches,D,12,1,8,9,2,0,0,0,0
PEYTON MCINTOSH,Peyton,Mcintosh,,St. Catharines Athletics,D,19,1,8,9,12,0,2,0,1
SAM DRAMITZKE,Sam,Dramitzke,,Kitchener-Waterloo,Ð,4,5,3,8,0,1,1,0,2
ANDREW DALTON,Andrew,Dalton,,Toronto Beaches,T,9,5,3,8,13,0,0,0,0
TOM COLLINS,Tom,Collins,,Peterborough Lakers,T,15,5,3,8,24,3,0,0,0
JUSTIN PORGA,Justin,Porga,,St. Catharines Athletics,F,2,4,4,8,0,1,0,1,4
ZACH COULMAN,Zach,Coulman,,Oakville Buzz,D,18,4,4,8,36,1,2,0,1
NATHAN POULIOT,Nathan,Pouliot,,Toronto Beaches,Ð,5,3,5,8,2,0,0,0,0
KAELEN SMITH,Kaelen,Smith,,Kitchener-Waterloo,Ð,5,3,5,8,0,0,2,0,0
CODY MERRITT,Cody,Merritt,,Brampton Excelsiors,F,10,3,5,8,0,0,0,1,0
NATHAN FEHR,Nathan,Fehr,,St. Catharines Athletics,D,18,3,5,8,16,1,0,0,0
KAELEN SMITH,Kaelen,Smith,,St. Catharines Athletics,"D, F",6,2,6,8,7,0,0,0,3
JULIAN RACE,Julian,Race,,St. Catharines Athletics,D,14,2,6,8,4,0,1,1,0
DAMON DECAIRE,Damon,Decaire,,Six Nations Arrows,F,4,1,7,8,2,0,1,0,1
LIAM FERRIS,Liam,Ferris,,Mimico Mountaineers,T,17,1,7,8,32,0,2,0,3
JEREMI PHOENIX-LEFEBVRE,Jeremi,Phoenix-lefebvre,,Toronto Beaches,Ð,19,1,7,8,20,0,1,0,1
AUSTIN LAMOUREUX,Austin,Lamoureux,,Peterborough Lakers,F,2,3,4,7,0,2,2,0,2
JACK FOLLOWS,Jack,Follows,,Oakville Buzz,D,12,3,4,7,2,0,0,0,1
JACK MCALPINE,Jack,Mcalpine,,Oakville Buzz,F,5,2,5,7,0,0,0,0,0
MASON SANDEN,Mason,Sanden,,Six Nations Arrows,T,14,2,5,7,8,0,0,2,0
HOLDEN LOWES,Holden,Lowes,,Peterborough Lakers,D,19,2,5,7,2,0,1,0,0
KADEN KUBLINSKAS,Kaden,Kublinskas,,Kitchener-Waterloo,Ð,17,1,6,7,6,0,0,1,0
COOPER JACKSON,Cooper,Jackson,,Burlington Chiefs,T,18,1,6,7,6,0,2,1,1
COLIN MATTHEWS,Colin,Matthews,,Burlington Chiefs,Ð,14,4,2,6,2,1,0,0,0
BEN MACDONNELL,Ben,Macdonnell,,Whitby Warriors,D,17,3,3,6,24,0,1,0,0
ELIJAH EDWARDS,Elijah,Edwards,,Orangeville Northmen,T,19,2,4,6,29,0,1,1,0
CARSON ROBINS,Carson,Robins,,St. Catharines Athletics,F,7,1,5,6,0,0,0,0,0
CAMERON PACK,Cameron,Pack,,St. Catharines Athletics,D,9,1,5,6,16,0,0,0,0
ANDREW VRADENBURG,Andrew,Vradenburg,,Burlington Chiefs,T,20,1,5,6,17,0,0,0,0
OWEN DALE,Owen,Dale,,Kitchener-Waterloo,Ð,18,0,6,6,40,0,1,0,1
DONNY SCOTT,Donny,Scott,,Orangeville Northmen,D,14,4,1,5,19,0,0,0,0
CHRIS DONG,Chris,Dong,,Oakville Buzz,T,20,3,2,5,4,0,0,0,1
ROBBIE MCGRAYNE,Robbie,Mcgrayne,,Peterborough Lakers,Ð,1,2,3,5,0,1,1,0,1
TYSON ALLISON,Tyson,Allison,,Burlington Chiefs,Ð,4,2,3,5,2,0,2,0,1
RILEY SIMPSON,Riley,Simpson,,Peterborough Lakers,D,7,2,3,5,2,0,0,0,0
LUCAS OSBORNE,Lucas,Osborne,,Peterborough Lakers,D,13,2,3,5,2,0,0,0,0
XANDER DERKATZ,Xander,Derkatz,,Oakville Buzz,F,4,1,4,5,4,1,1,0,0
EDDY FERREDE,Eddy,Ferrede,,Kitchener-Waterloo,Ð,17,1,4,5,16,0,0,0,0
KEAN PARE,Kean,Pare,,Six Nations Arrows,D,18,1,4,5,23,1,1,0,0
AARON TOGURI,Aaron,Toguri,,Mimico Mountaineers,D,20,1,4,5,36,0,0,0,0
REED ALLEN,Reed,Allen,,Burlington Chiefs,Ð,3,0,5,5,0,0,0,0,0
JADEN CIAPPARA,Jaden,Ciappara,,Orangeville Northmen,T,12,0,5,5,2,0,0,0,0
PHOENIX PULLEN,Phoenix,Pullen,,Brampton Excelsiors,T,20,0,5,5,37,0,2,0,1
NICHOLAS ROODE,Nicholas,Roode,,Peterborough Lakers,F,1,3,1,4,0,2,0,1,0
WILL MCLEOD,Will,Mcleod,,Burlington Chiefs,Ð,1,3,1,4,0,1,0,1,0
CAMERON STERRITT,Cameron,Sterritt,,Brampton Excelsiors,F,2,3,1,4,0,1,0,0,1
CHRIS DASILVA,Chris,Dasilva,,Brampton Excelsiors,F,4,3,1,4,0,0,0,0,0
JUSTIN TAVARES AP,Justin,Tavares,Ap,Mimico Mountaineers,T,5,3,1,4,0,0,0,1,0
LIAM MACKAY,Liam,Mackay,,Toronto Beaches,Ð,17,3,1,4,29,1,0,0,0
TREYSEN STEWART,Treysen,Stewart,,Whitby Warriors,F,3,2,2,4,4,0,0,0,0
COLM BARNETT,Colm,Barnett,,Orangeville Northmen,T,6,2,2,4,2,0,0,0,0
REECE DICICCO,Reece,Dicicco,,Peterborough Lakers,Ð,8,2,2,4,6,1,1,0,0
NICK THOMAS,Nick,Thomas,,Kitchener-Waterloo,Ð,9,2,2,4,16,0,0,0,0
MICHAEL JACKMAN,Michael,Jackman,,Oakville Buzz,D,13,2,2,4,51,1,2,0,0
LIAM STADNYK,Liam,Stadnyk,,Orangeville Northmen,D,16,2,2,4,0,0,0,1,0
JACOB MCLEAN,Jacob,Mclean,,Peterborough Lakers,Ð,1,1,3,4,0,1,2,0,0
ALEX HICKS,Alex,Hicks,,Kitchener-Waterloo,Ð,4,1,3,4,0,0,0,0,0
ISSAC PRANTERA,Issac,Prantera,,St. Catharines Athletics,D,11,1,3,4,8,1,0,0,1
ASHTON LANKOWSKI,Ashton,Lankowski,,Kitchener-Waterloo,Ð,17,1,3,4,0,1,1,0,2
TY CARTY,Ty,Carty,,Brampton Excelsiors,D,20,1,3,4,9,0,1,0,2
GORDIE POWER,Gordie,Power,,Burlington Chiefs,Ð,2,0,4,4,2,0,2,0,0
PEYTON DRONE,Peyton,Drone,,Peterborough Lakers,F,2,0,4,4,0,0,1,0,1
AVERY STEINBACH-PARKER,Avery,Steinbach-parker,,Six Nations Arrows,F,7,0,4,4,0,0,3,0,0
HADOWAS SMITH,Hadowas,Smith,,Six Nations Arrows,T,14,0,4,4,17,0,0,0,1
HAYDEN THOMSON,Hayden,Thomson,,Oakville Buzz,D,15,0,4,4,8,0,0,0,1
CURTIS WARD,Curtis,Ward,,Brampton Excelsiors,F,5,3,0,3,0,1,0,0,0
ADAM ROSS,Adam,Ross,,St. Catharines Athletics,F,1,2,1,3,0,0,0,0,0
COLTON ARMITAGE,Colton,Armitage,,St. Catharines Athletics,F,1,2,1,3,2,0,0,1,1
HUNTER LUBINIECKI,Hunter,Lubiniecki,,Peterborough Lakers,"D, F",2,2,1,3,0,0,1,0,0
KYLER FRANCIS,Kyler,Francis,,Kitchener-Waterloo,Ð,2,2,1,3,2,0,0,0,0
MATT WRIGHT,Matt,Wright,,Mimico Mountaineers,Ð,2,2,1,3,2,0,0,1,0
GEORGE PITT,George,Pitt,,Burlington Chiefs,F,2,2,1,3,0,0,0,1,0
KAZ NIZIELSKI,Kaz,Nizielski,,Kitchener-Waterloo,Ð,12,2,1,3,12,0,0,2,0
MITCHELL ARMSTRONG,Mitchell,Armstrong,,St. Catharines Athletics,D,12,2,1,3,23,0,0,0,1
JOHN WHEELER,John,Wheeler,,Whitby Warriors,D,12,2,1,3,7,0,0,0,0
LOUIS ALFRED,Louis,Alfred,,Six Nations Arrows,D,16,2,1,3,63,0,0,0,1
MAVRYK GATT,Mavryk,Gatt,,St. Catharines Athletics,F,1,1,2,3,2,0,0,0,0
NOLAN BARKER,Nolan,Barker,,Kitchener-Waterloo,Ð,2,1,2,3,0,0,0,0,0
JAMES DONNELLY,James,Donnelly,,Peterborough Lakers,D,2,1,2,3,0,0,1,1,1
CHRISTIAN LEFEUVRE,Christian,Lefeuvre,,St. Catharines Athletics,F,2,1,2,3,0,0,1,0,0
BRAEDEN LOCKYER,Braeden,Lockyer,,Oakville Buzz,F,2,1,2,3,2,0,1,0,0
TREYTON WEINSTEIN,Treyton,Weinstein,,Kitchener-Waterloo,F,3,1,2,3,0,0,0,0,0
COLIN MATTHEWS,Colin,Matthews,,Burlington Chiefs,D,6,1,2,3,4,0,0,1,0
NORM PITT,Norm,Pitt,,Burlington Chiefs,F,6,1,2,3,0,0,0,0,0
BO COLUMBUS,Bo,Columbus,,Kitchener-Waterloo,D,6,1,2,3,9,0,0,0,0
ISAAC SQUIRE-HILL,Isaac,Squire-hill,,Six Nations Arrows,D,7,1,2,3,48,0,0,0,0
BO COLUMBUS,Bo,Columbus,,St. Catharines Athletics,D,8,1,2,3,0,0,0,0,1
ETHAN BROWN AP,Ethan,Brown,Ap,Mimico Mountaineers,T,8,1,2,3,11,0,1,1,0
MICHAEL GRACE,Michael,Grace,,Burlington Chiefs,D,14,1,2,3,19,0,0,0,0
BEN DOHERTY,Ben,Doherty,,St. Catharines Athletics,D,15,1,2,3,42,0,0,0,0
WILLIAM WHITE,William,White,,Peterborough Lakers,D,15,1,2,3,2,0,0,0,0
MARK VAN SCHEPEN,Mark,Van,Schepen,Brampton Excelsiors,D,16,1,2,3,23,0,0,0,0
LUCAS HUCAL,Lucas,Hucal,,Oakville Buzz,T,19,1,2,3,16,1,1,0,0
KEVIN HILL,Kevin,Hill,,Six Nations Arrows,F,3,0,3,3,2,0,1,0,0
KYLE MCMILLAN,Kyle,Mcmillan,,Burlington Chiefs,Ð,4,0,3,3,0,0,0,0,0
GAVIN SNOW,Gavin,Snow,,Kitchener-Waterloo,F,5,0,3,3,2,0,0,0,0
RYAN PATTERSON,Ryan,Patterson,,St. Catharines Athletics,D,8,0,3,3,8,0,0,0,0
RYAN ESSENSSA,Ryan,Essenssa,,Mimico Mountaineers,F,10,0,3,3,7,0,0,0,1
WYATT WIGGINS,Wyatt,Wiggins,,Peterborough Lakers,T,10,0,3,3,4,0,0,0,0
ATKIN DWYER AP,Atkin,Dwyer,Ap,Mimico Mountaineers,D,12,0,3,3,4,0,2,0,0
JAYDEN SMITH,Jayden,Smith,,Six Nations Arrows,D,13,0,3,3,38,0,0,0,0
SEVEN GILLINGHAM,Seven,Gillingham,,Kitchener-Waterloo,Ð,14,0,3,3,26,0,0,0,0
AIDEN MACDONELL,Aiden,Macdonell,,Mimico Mountaineers,D,15,0,3,3,33,0,1,0,0
MICHAEL WHITE,Michael,White,,Whitby Warriors,D,17,0,3,3,14,0,1,0,1
MARCUS KELEHER,Marcus,Keleher,,Oakville Buzz,F,1,2,0,2,0,0,0,0,0
CAM ESSENSA AP,Cam,Essensa,Ap,Mimico Mountaineers,Ð,1,2,0,2,0,0,0,1,0
SHAKORENNAWIS SWAMP,Shakorennawis,Swamp,,Six Nations Arrows,F,2,2,0,2,2,1,0,0,0
DANIEL MAY,Daniel,May,,Toronto Beaches,D,6,2,0,2,8,1,0,0,0
COLE HUNSBERGERÊ,Cole,Hunsbergerê,,Kitchener-Waterloo,F,7,2,0,2,6,0,0,0,0
TYLER GRANDEL,Tyler,Grandel,,Peterborough Lakers,D,17,2,0,2,22,0,0,0,0
LIAM STEELE,Liam,Steele,,Brampton Excelsiors,D,20,2,0,2,24,1,0,0,0
DYLAN CORDINGLEY,Dylan,Cordingley,,Orangeville Northmen,F,1,1,1,2,0,0,0,0,0
NATE SAGE,Nate,Sage,,Peterborough Lakers,F,1,1,1,2,0,1,1,0,0
ANDY DALTON,Andy,Dalton,,Kitchener-Waterloo,Ð,2,1,1,2,4,0,0,0,0
HAMISH MCPHERSON,Hamish,Mcpherson,,Toronto Beaches,Ð,2,1,1,2,0,0,0,0,0
DAMON DOXTATOR,Damon,Doxtator,,Six Nations Arrows,F,2,1,1,2,0,0,0,0,0
KEATON BROWN,Keaton,Brown,,Orangeville Northmen,F,4,1,1,2,0,0,0,0,0
BRETT HARRISON AP,Brett,Harrison,Ap,Mimico Mountaineers,Ð,4,1,1,2,0,0,0,0,0
ZACH MACDONALD,Zach,Macdonald,,Burlington Chiefs,T,6,1,1,2,12,0,0,0,0
NICHOLAS DAMICO,Nicholas,Damico,,Burlington Chiefs,D,7,1,1,2,2,0,0,0,0
ETHAN FISHER,Ethan,Fisher,,St. Catharines Athletics,D,7,1,1,2,0,0,0,0,0
JACOB GARCIA,Jacob,Garcia,,Mimico Mountaineers,Ð,10,1,1,2,2,0,0,0,0
KYLE STERRITT,Kyle,Sterritt,,Brampton Excelsiors,D,11,1,1,2,2,0,0,0,0
LIAM PERRO,Liam,Perro,,Orangeville Northmen,D,11,1,1,2,14,0,0,0,0
