PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
JACK OLDMAN,Whitby Warriors,F,17,10,9,19,11,0,0,0,0
LUCAS FERRIERA,Brampton Excelsiors,F,7,4,15,19,2,3,2,1,3
MARK WATTERS ,Mimico Mountaineers,–,10,4,15,19,0,0,6,0,0
LUCAS LITTLEJOHN,Whitby Warriors,F,14,9,9,18,2,1,1,1,0
JACOB POWER,Burlington Chiefs,F,9,6,12,18,14,5,2,0,0
JOSH ROSA,Kitchener-Waterloo,F,7,10,7,17,0,2,1,4,2
AMOS WHITCOMB,Oakville Buzz,F,7,7,10,17,0,2,3,0,2
NICK CROWLEY,Peterborough Lakers,D,16,7,10,17,18,0,1,0,1
GAVIIN SNOW,St. Catharines Athletics,"F, T",9,4,13,17,11,1,6,0,1
AIDEN LONG,Orangeville Northmen,F,16,13,3,16,23,0,0,0,0
COHEN JENNINGS,Orangeville Northmen,T,19,8,8,16,6,3,1,0,0
REED KURTZ,Mimico Mountaineers,T,18,7,9,16,2,1,0,0,0
MALIKYE GOOD,Oakville Buzz,F,7,6,10,16,0,0,4,0,0
RYCOL DAVIS,Six Nations Arrows,D,18,6,10,16,48,0,1,1,0
TRISTEN DEMPERS,Whitby Warriors,D,18,5,11,16,22,1,0,0,0
CURTIS GODDARD,Oakville Buzz,T,19,5,11,16,18,0,2,0,0
TANNER COLE,Oakville Buzz,T,19,2,14,16,8,0,4,0,0
OWEN TAPPER,Whitby Warriors,T,18,8,7,15,22,1,0,0,0
DYLAN ROBINSON,Toronto Beaches,–,18,6,9,15,29,0,0,1,0
CODY COULSON,Orangeville Northmen,F,11,8,6,14,4,2,3,0,0
JACK TRAVASSOS,Burlington Chiefs,T,19,8,6,14,25,0,0,1,0
CARTER ACCURSI,St. Catharines Athletics,F,14,6,8,14,0,0,0,1,0
DANTE BOWEN,Brampton Excelsiors,D,16,8,5,13,13,2,0,1,0
SCOTT REED,Whitby Warriors,T,19,4,9,13,33,0,0,0,3
CARTER BEGLEY AP,Mimico Mountaineers,F,8,3,10,13,2,1,3,0,1
BRYCE CORDINGLEY,Mimico Mountaineers,T,17,3,10,13,61,1,1,1,2
BRODY CASKENETTE,Mimico Mountaineers,T,17,2,11,13,6,1,0,0,2
HUGH KELLEHER,Oakville Buzz,T,9,10,2,12,6,1,0,2,0
BEN TRUMBLE,Peterborough Lakers,T,16,7,5,12,10,3,1,1,1
GREG PALMER,Toronto Beaches,–,7,6,6,12,7,0,0,0,1
MATTHEW ACCHIONE,Toronto Beaches,F,11,5,7,12,4,0,3,1,0
LIAM MCGRATH,Orangeville Northmen,T,18,3,9,12,27,0,0,0,0
