PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
HUDSON THOMPSON,Mimico Mountaineers,17,F,17,3,7,10,1,2,0,0,20,0
NATHAN POULIOT,Toronto Beaches,6,–,5,3,5,8,0,0,0,0,2,0
KAELEN SMITH,Kitchener-Waterloo,11,–,5,3,5,8,0,2,0,0,0,0
CODY MERRITT,Brampton Excelsiors,19,F,10,3,5,8,0,0,1,0,0,0
NATHAN FEHR,St. Catharines Athletics,"14, 41",D,17,3,5,8,1,0,0,0,14,0
AUSTIN LAMOUREUX,Peterborough Lakers,9,F,2,3,4,7,2,2,0,2,0,1
BEN MACDONNELL,Whitby Warriors,2,D,16,3,2,5,0,1,0,0,22,0
CHRIS DONG,Oakville Buzz,20,T,19,3,2,5,0,0,0,1,4,0
WILL MCLEOD,Burlington Chiefs,14,–,1,3,1,4,1,0,1,0,0,1
CAMERON STERRITT,Brampton Excelsiors,15,F,2,3,1,4,1,0,0,1,0,1
JUSTIN TAVARES AP,Mimico Mountaineers,"13, 18, 23",T,5,3,1,4,0,0,1,0,0,0
LIAM MACKAY,Toronto Beaches,"26, 88",–,17,3,1,4,1,0,0,0,29,0
TANNER COLE,Oakville Buzz,9,T,19,2,14,16,0,4,0,0,8,0
BRODY CASKENETTE,Mimico Mountaineers,77,T,15,2,10,12,1,0,0,2,6,0
MASON TARDIFF,Peterborough Lakers,14,F,8,2,8,10,1,3,0,0,2,0
ADAM THISTLETHWAITE,Peterborough Lakers,18,T,15,2,7,9,1,2,0,2,24,0
MATTHEW VILAS,Oakville Buzz,"13, 71, 8",T,17,2,7,9,1,1,0,0,2,0
KAELEN SMITH,St. Catharines Athletics,3,"D, F",6,2,6,8,0,0,0,3,7,0
JULIAN RACE,St. Catharines Athletics,71,D,13,2,6,8,0,1,1,0,4,0
JACK MCALPINE,Oakville Buzz,22,F,4,2,5,7,0,0,0,0,0,0
LUCAS FERREIRA,Oakville Buzz,17,F,7,2,5,7,0,1,0,0,4,0
NICHOLAS VOLKOV,Burlington Chiefs,7,T,15,2,5,7,0,0,0,0,47,0
JACK FOLLOWS,Oakville Buzz,6,D,11,2,4,6,0,0,0,1,2,0
